week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
0000-00,0.0,0.0,0.0,0.0,15.0
2022-02,-0.025355708286763597,1.0,-0.4851444767708611,1.0,1.0
2022-05,0.013825768361416099,0.2513682190340005,0.015185412581890064,0.6638812894688715,3.0
2022-07,0.06947496053825669,0.23574031566162199,0.4438315741587216,1.2050229007742899,2.0
2022-08,0.37499764776402605,0.5661851458686114,-0.47026756282597115,0.02103913346712071,2.0
2022-10,0.6911413588375616,0.4803745996088209,-0.46617903613540956,0.026821183363037415,2.0
2022-11,0.8998009738152554,1.0,-0.6649272084004078,1.0,1.0
2022-12,0.23616853634164686,1.0,-0.408248290463863,1.0,1.0
2022-14,-0.5580444644786586,1.1427474406662237,-0.3716965196967337,0.525658259241999,2.0
2022-15,0.5435488810741891,0.908767779352659,-0.6162651558790527,0.18319772951070046,2.0
2022-17,-0.7041224633551588,0.9071469359650326,-0.5349641687987944,0.07045568413915397,2.0
2022-19,1.2180700823691994,1.7695810288588927,-0.006949864346945445,1.166378988053076,2.0
2022-20,0.05540980818614518,0.2184348821501585,-0.6162651558790527,0.18319772951070046,2.0
2022-21,0.9991745768300443,1.0,2.041241452319315,1.0,1.0
2022-23,0.5463469669021069,0.20436803556561792,-0.41551021025962454,0.9158641505985448,2.0
2022-24,-0.09895009808583534,0.4284103222864424,0.31680305160789485,1.1057463244652797,4.0
2022-25,0.7834046561893583,1.0,-0.7458055127140479,1.0,1.0
2022-26,0.24269751894375127,0.848381143727195,-0.3427881832300575,0.3966563850915081,6.0
2022-27,-0.7583739708707586,0.4570101009231386,0.38397952122572976,1.5977573175637811,2.0
2022-28,-0.2704531978819734,0.24240500050704103,-0.66863227111334,0.1091394449240167,2.0
2022-29,-0.0002699602048350143,1.0448255312193404,-0.28815577023322997,0.6918709116658618,6.0
2022-30,-0.5009578317081879,0.8449618551786434,-0.058809961846584304,0.9964710264038322,8.0
2022-31,0.12438059664420353,1.059701789417381,2.089393388841155,3.087618638925128,3.0
2022-32,-1.0383347365834528,1.0,-0.5847838608267276,1.0,1.0
2022-33,-0.34003413791801745,0.7343676411737279,-0.4458848525385976,0.05322613652718653,3.0
2022-34,1.270312695089752,1.0,-0.5839612187611984,1.0,1.0
2022-35,-0.895707508642763,1.0,-0.8317043562327785,1.0,1.0
2022-36,-0.33460619894986054,0.4735570430771335,-0.18464986006778072,0.9999686821897336,4.0
2022-37,-1.0953297319871702,1.0,-0.8317043562327785,1.0,1.0
2022-38,-1.0917658749328485,0.6377268914199592,0.06559217546539468,1.2352308673115644,6.0
2022-39,-0.11415548785038417,0.8905014014738428,-0.05382996388750994,1.0526825354162925,51.0
2022-40,0.05172171338115409,0.9247882844573079,-0.0857963398369244,0.9117359390123905,79.0
2022-41,0.0690765433275394,1.090184997354216,-0.04463871066118854,0.948512259093936,163.0
2022-42,-0.06080222332565876,0.936731293501951,-0.0649055542215397,0.8076449976140417,183.0
2022-43,0.05285838472511435,0.8966513471841216,-0.04440997743506662,0.8783082007081742,345.0
2022-44,-0.004820218363724313,1.0072815246969689,0.006151355769867133,1.0225438021685638,292.0
2022-45,-0.06449789440678465,1.0286252599446573,0.00022304105395660253,0.937776382661239,324.0
2022-46,0.08015060434896767,1.009009814047288,0.09564041934440982,1.026760329485992,455.0
2022-47,-0.03243997375060952,0.983088579461076,0.08037379518637382,1.1084593658625395,408.0
2022-48,-0.049645773279369275,0.978858461550973,0.003830513242552829,0.9888140224648359,403.0
2022-49,0.06740862075411888,1.0167272040670428,0.01971878951830119,1.0063920681683756,337.0
2022-50,0.047696367291978875,0.9731658249971186,0.1625294451845357,1.0888157109001582,365.0
2022-51,0.05256814351225103,1.03975164649745,-0.031195987206754795,0.9541746364967109,408.0
2022-52,0.06494678468676268,0.9445872185177949,0.027987229361784282,1.08032744319103,278.0
2023-00,0.21002349568959983,0.8512028952564386,-0.026246939312845222,0.8056522027856963,23.0
2023-01,-0.08749927037595087,0.9919656584770232,0.12388612743444401,1.105365208590729,315.0
2023-02,0.07598016449180342,0.912743256309784,0.005238530861036994,1.1214330983252025,271.0
2023-03,0.11859685047944465,0.9630454913185501,0.06837152669820704,1.0329817855552883,359.0
2023-04,0.09212357785718259,0.9821339697955184,-0.04205780847931967,0.9659743645209624,364.0
2023-05,0.11368669596958599,0.9892006098660375,0.011491461598914383,1.039888384727941,354.0
2023-06,0.035357363762759934,0.9315362129484017,0.001237619425282922,1.0190485511709666,244.0
2023-07,-0.016917205875996696,0.930967644339885,0.03054467188737232,1.0326455919195487,309.0
2023-08,0.011584632000913971,0.9894668538428728,-0.0005482296552866113,1.0190392096591874,272.0
2023-09,-0.034906815778622854,0.9568660643918131,-0.13297791363340603,0.826618620952845,297.0
2023-10,-0.038091502004943656,0.9451123758123834,0.04892498341481237,1.1188027078146872,299.0
2023-11,-0.013543499735361347,0.9564981523188226,-0.0580390785753317,0.9406996084691317,298.0
2023-12,0.16084650041051388,0.917679650553003,-0.04109294385340177,0.8677112546696394,312.0
2023-13,-0.09941284188304463,1.082650501184314,-0.08636495124266862,0.9277669072768829,287.0
2023-14,0.0313031511821392,0.9255955815573147,-0.09220984421040762,0.7826317403159603,314.0
2023-15,0.1148928633815539,1.0090544250139686,0.08736972848001132,1.226026969389593,310.0
2023-16,-0.11515497194109049,0.9778856224031909,0.06677093797381976,1.041964998605784,234.0
2023-17,-0.03768293964460752,0.9752181945166772,0.0828584375244614,1.0043502624470795,260.0
2023-18,-0.04319001603348158,1.0232103259503904,-0.05364659966681023,0.9262502749800444,207.0
