day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
000-00-00,0.0,0.0,0.0,0.0,15.0
2022-01-14,-0.02878907662570786,1.0,-0.46391375549858704,1.0,1.0
2022-01-31,0.25,1.0,0.0,1.0,1.0
2022-02-02,-0.1237700742431904,0.17049691234110864,0.023986050611813747,0.9593016138103787,2.0
2022-02-14,0.23616853634164686,1.0,-0.408248290463863,1.0,1.0
2022-02-16,-0.09721861526513347,1.0,1.2959114387813062,1.0,1.0
2022-02-22,-0.02878907662570786,1.0,-0.46391375549858704,1.0,1.0
2022-02-24,0.7809903608224992,1.0,-0.46358132537907537,1.0,1.0
2022-03-11,1.0126321360474777,1.0,-0.46391375549858704,1.0,1.0
2022-03-12,0.3514652219443916,1.0,-0.447213595499958,1.0,1.0
2022-03-17,0.9840226836518497,1.0,-0.6725317936435607,1.0,1.0
2022-03-23,0.23616853634164686,1.0,-0.408248290463863,1.0,1.0
2022-04-06,-0.5580444644786586,1.1427474406662237,-0.3716965196967337,0.525658259241999,2.0
2022-04-12,1.1861447403782943,1.0,-0.4867247990440576,1.0,1.0
2022-04-17,-0.09904697822991625,1.0,-0.7458055127140479,1.0,1.0
2022-04-27,-1.3305655924671898,1.0,-0.46391375549858704,1.0,1.0
2022-04-28,-0.06617258424352786,1.0,-0.5751511750281204,1.0,1.0
2022-05-10,-0.031013352471852166,1.0,0.844791982728008,1.0,1.0
2022-05-11,2.46935282773439,1.0,-0.8317043562327785,1.0,1.0
2022-05-19,0.2098665946022066,1.0,-0.4867247990440576,1.0,1.0
2022-05-20,-0.09904697822991625,1.0,-0.7458055127140479,1.0,1.0
2022-05-25,0.9991745768300443,1.0,2.041241452319315,1.0,1.0
2022-06-09,0.6908569907083288,1.0,-1.0631239617935129,1.0,1.0
2022-06-10,0.40183694309588497,1.0,0.23210354127426386,1.0,1.0
2022-06-13,-0.5188745216627708,1.0,,1.0,1.0
2022-06-15,-0.09904697822991625,1.0,1.4611507362622946,1.0,1.0
2022-06-17,0.48925411138293334,1.0,-0.7458055127140479,1.0,1.0
2022-06-18,-0.2671330038335876,1.0,0.23506393127543765,1.0,1.0
2022-06-24,0.7834046561893583,1.0,-0.7458055127140479,1.0,1.0
2022-06-27,-0.09904697822991625,1.0,-0.7458055127140479,1.0,1.0
2022-06-28,0.23616853634164686,1.0,-0.408248290463863,1.0,1.0
2022-06-29,0.7148738570381286,1.0,-0.4835214146133322,1.0,1.0
2022-07-01,0.9255830620731663,0.29798781547740366,-0.03243169959669556,0.637937192823542,2.0
2022-07-03,-1.3253312730282083,1.0,-0.3514440581661742,1.0,1.0
2022-07-04,-0.4352190294372588,1.0,-0.7458055127140479,1.0,1.0
2022-07-08,-1.0702102892988932,1.0,1.5130337178211866,1.0,1.0
2022-07-12,-0.2716094936971929,0.24404024973103966,-0.6640141930832486,0.11567039350626918,2.0
2022-07-19,0.8855710310745775,0.9337583903342725,0.3674880350403339,1.0167235166379218,2.0
2022-07-21,-0.7577839254969375,1.0,-0.46391375549858704,1.0,1.0
2022-07-22,0.04802829417329618,1.039979224611702,-0.7458055127140479,0.0,2.0
2022-07-23,-1.1352991150909673,1.0,-0.46391375549858704,1.0,1.0
2022-07-26,0.003829610764552023,0.14548946740665972,0.5251648537337991,1.7974235296048477,2.0
2022-07-28,-0.7127619842422995,1.066152389330568,0.018652930694888232,1.126219664305538,3.0
2022-07-29,-1.5041357945793872,1.0,-0.46391375549858704,1.0,1.0
2022-07-31,-0.17795760298526342,0.9056621405421951,-0.5167583352968769,0.09365886494880343,2.0
2022-08-04,0.9143899193069027,1.0,-0.4940384020355707,1.0,1.0
2022-08-05,-0.25600190035094034,1.151464546248143,3.3465837828203853,2.998620488524156,2.0
2022-08-10,-1.0312447837356797,1.0,-0.5751511750281204,1.0,1.0
2022-08-16,0.23616853634164686,1.0,-0.408248290463863,1.0,1.0
2022-08-17,-0.08935101811254269,1.0,-0.4835214146133322,1.0,1.0
2022-08-18,-1.4999999999999998,1.0,,1.0,1.0
