keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Armut',-0.022570098618186277,0.9412569817310426,0.5832286806977999,1.4354194397828914,357.0
'Atomenergie',0.025058114233647892,0.8700010935400672,-0.09126574762784527,0.7719464224128362,222.0
'Erneuerbare Energien',0.024354787666098388,1.0024135254460544,0.3014317433654733,1.2498029112443416,245.0
'Explosion',-0.2775121827346597,1.0529947628873784,-0.14828661701175777,0.7691010872390777,982.0
'Flucht',-0.1655607879015726,1.009495412979764,-0.005215534482688407,1.125542220084705,714.0
'Frieren',-0.1286685399129628,1.0781134114145918,0.04561484915318766,0.8958041702894125,150.0
'Gasspeicher',0.32052104919287344,1.1139061970188242,0.14449007616165938,1.187913366265636,350.0
'Heizen',0.09042184214953154,1.0182189532391261,0.26819272798600674,1.0997772102132934,275.0
'Inflation',0.16125689640782823,0.989082820321188,0.0818810585750858,1.0503380969992722,1152.0
'Knappheit',0.1113507357642691,1.0626494195873781,0.18361044498606086,1.1831192001262907,170.0
'Kohle',0.11322712029447012,0.8935872027040918,0.13047666302487726,1.1571403136683422,412.0
'Kosten',0.047174880422012316,1.0328601373202428,0.19125635813137912,1.2131422997006418,414.0
'Kälte',0.015350099503742078,1.0544778812217739,0.18115238936833197,1.1564762741586332,381.0
'Nordstream',-0.02745023223745626,0.8626493673969107,0.08433966746648411,1.0093643202084104,139.0
'Putin',-0.030254198275569598,0.9951648645743612,-0.14269039834867236,0.8235536321250073,1475.0
'Russland',-0.05258159777044758,0.9797954030064968,-0.09838959164813733,0.860247452677469,2374.0
'Schnee',0.0979725783434988,0.9659078013983964,0.1377686843627708,1.1750874118415244,535.0
'Sparen',0.22584993055755648,0.8952704266254196,0.32925880566656923,1.1391226238494963,212.0
'Teuer',0.1000515435698124,1.0508036070298077,0.010857818252928197,0.8991288643852884,217.0
'Ukraine',0.015597228504069714,0.9758633996352974,-0.06898682761666623,0.9167632106414079,4102.0
'Waffen',-0.020731629514755073,0.9779564805103347,0.005806672390952952,1.0323211654246338,905.0
