,summary,Winter,Energie,Krieg,Krise,word
kiew start,3.4031168991794476,-0.452382294976689,-0.5399205756305309,0.34264873714341537,-0.5395889266919952,kiew start
start drohnenangriff,3.2475494636302282,-0.40559124898827564,-0.49312952964211737,0.32199202332684046,-0.4927978807035815,start drohnenangriff
drohnenangriff russisch,3.746937176076561,-0.5486293014583142,-0.6361675821121561,0.38106428466537706,-0.6358359331736203,drohnenangriff russisch
Schwarzmeerflotte,7.859954168992296,-1.289471323753845,-1.1192459771248358,0.5429950371213559,-1.376677955469151,Schwarzmeerflotte
russisch schwarzmeerflott,4.091588331360322,-0.636623787990892,-0.4663984413618826,0.3751618780689488,-0.7238304197061981,russisch schwarzmeerflott
fr.de,9.04985091593533,-1.4304388324455761,-1.517977113099418,0.5787505309625178,-1.5176454641608823,fr.de
schwarzmeerflott fr.d,3.593711856961776,-0.5068761600389541,-0.594414440692796,0.365031781736677,-0.5940827917542602,schwarzmeerflott fr.d
fr.d ukraine-news,8.282059383966372,-1.3417822035890818,-1.4293204842429237,0.5669313556254737,-1.4289888353043878,fr.d ukraine-news
ukraine-news kiew,2.719409425620359,-0.22810528204635844,-0.31564356270020005,0.22913947121929418,-0.3153119137616644,ukraine-news kiew
fr.d /li,5.354530462955488,-0.9056335663143917,-0.9931718469682337,0.4872184627081274,-0.9928401980296977,fr.d /li
/li ukraine-news,3.4608394833157266,-0.46920173312339003,-0.5567400137772317,0.34974196011653663,-0.5564083648386962,/li ukraine-news
ukraine-news schwarzmeerflott,2.5193933613091546,-0.15170869115081748,-0.23924697180465926,0.1804749317276555,-0.23891532286612363,ukraine-news schwarzmeerflott
wehrt,2.6666405865780685,-0.20851002117741776,-0.2960483018312593,0.21722935660518158,-0.2957166528927237,wehrt
schwarzmeerflott wehr,2.6666405865780685,-0.20851002117741776,-0.2960483018312593,0.21722935660518158,-0.2957166528927237,schwarzmeerflott wehr
wehr drohnenangriff,2.5597028221777607,-0.16758171491300428,-0.255119995566846,0.19109535362137095,-0.25478834662831024,wehr drohnenangriff
Sewastopol,2.70923444875238,-0.22435665199490093,-0.31189493264874263,0.22688992750711268,-0.3115632837102071,Sewastopol
drohnenangriff sewastopol,2.70923444875238,-0.22435665199490093,-0.31189493264874263,0.22688992750711268,-0.3115632837102071,drohnenangriff sewastopol
sewastopol der,2.894802415237464,-0.29060740659278456,-0.37814568724662645,0.2647482610106652,-0.3778140383080908,sewastopol der
spiegel /li,2.9604945191495866,-0.3130468699087914,-0.40058515056263305,0.2767117719845995,-0.40025350162409745,spiegel /li
/li ukraine,3.4608394833157266,-0.46920173312339003,-0.5567400137772317,0.34974196011653663,-0.5564083648386962,/li ukraine
ukraine news,2.8702707566218106,-0.28209691385485036,-0.36963519450869226,0.2601017946356583,-0.3693035455701565,ukraine news
news russland,3.911175202104641,-0.5915284402820635,-0.6790667209359054,0.39660690792567477,-0.6787350719973697,news russland
russland drohnenangriff,2.5597028221777607,-0.16758171491300428,-0.255119995566846,0.19109535362137095,-0.25478834662831024,russland drohnenangriff
drohnenangriff krim,2.7382686424405365,-0.2350163866039754,-0.3225546672578171,0.23325166476910048,-0.32222301831928146,drohnenangriff krim
vereitelt,2.6914132150568713,-0.217756962665092,-0.3052952433189337,0.22289647575686847,-0.30496359438039805,vereitelt
krim vereitel,2.6914132150568713,-0.217756962665092,-0.3052952433189337,0.22289647575686847,-0.30496359438039805,krim vereitel
Startseite,4.390095073179751,-0.7070414318600796,-0.7945797125139215,0.43427214508713047,-0.7942480635753856,Startseite
vereitel startseite,2.5586770367840366,-0.167180890653874,-0.25471917130771576,0.19083061022720837,-0.2543875223691801,vereitel startseite
startseite /li,5.354530462955488,-0.9056335663143917,-0.9931718469682337,0.4872184627081274,-0.9928401980296977,startseite /li
/li politik,4.031163862662263,-0.6217456821787908,-0.7092839628326325,0.4070253266197581,-0.7089523138940967,/li politik
politik /li,5.354530462955488,-0.9056335663143917,-0.9931718469682337,0.4872184627081274,-0.9928401980296977,politik /li
/ol,3.867057507212114,-0.5801844320341751,-0.6677227126880168,0.39258472661344995,-0.6673910637494812,/ol
/li /ol,3.867057507212114,-0.5801844320341751,-0.6677227126880168,0.39258472661344995,-0.6673910637494812,/li /ol
Erstellt,3.828693698367169,-0.570214222338969,-0.6577525029928107,0.38899815525312303,-0.6574208540542752,Erstellt
/ol erstell,3.828693698367169,-0.570214222338969,-0.6577525029928107,0.38899815525312303,-0.6574208540542752,/ol erstell
29.10.2022,2.39786099386323,-0.10226763564195177,-0.18980591629579358,0.14550686590992096,-0.1894742673572578,29.10.2022
erstell 29.10.2022,2.39786099386323,-0.10226763564195177,-0.18980591629579358,0.14550686590992096,-0.1894742673572578,erstell 29.10.2022
11:46,2.3709171180515796,-0.09096739818235514,-0.17850567883619695,0.13708784556040737,-0.17817402989766132,11:46
29.10.2022 11:46,2.3709171180515796,-0.09096739818235514,-0.17850567883619695,0.13708784556040737,-0.17817402989766132,29.10.2022 11:46
11:46 uhr,2.3588108781318877,-0.085848175103181,-0.1733864557570227,0.13321873630121803,-0.1730548068184871,11:46 uhr
uhr von,3.6274176315449753,-0.5162115470924997,-0.6037498277463414,0.36869737105735967,-0.6034181788078056,uhr von
Karolin,2.8559352525621415,-0.2770899217955759,-0.3646282024494175,0.25733938237114984,-0.36429655351088186,Karolin
von karolin,2.3420859694248057,-0.07873252044488561,-0.16627080109872724,0.12778248678202572,-0.16593915216019156,von karolin
Schäfer,2.828210147809939,-0.26733460321257885,-0.35487288386642074,0.25189508828507523,-0.35454123492788486,Schäfer
karolin schäfer,2.828210147809939,-0.26733460321257885,-0.35487288386642074,0.25189508828507523,-0.35454123492788486,karolin schäfer
schäfer tim,2.7996018920450605,-0.2571677739066852,-0.34470605456052683,0.24613213102538664,-0.3443744056219913,schäfer tim
tim vincent,3.4954323023476763,-0.47914760794218036,-0.5666858885960222,0.3538574963209848,-0.5663542396574863,tim vincent
Dicke,3.4814148025824614,-0.47512931187928636,-0.5626675925331281,0.352201715521564,-0.5623359435945924,Dicke
vincent dicke,3.4814148025824614,-0.47512931187928636,-0.5626675925331281,0.352201715521564,-0.5623359435945924,vincent dicke
dicke vincent,2.7876668891295524,-0.25289555378055817,-0.3404338344344,0.24368289242200694,-0.3401021854958642,dicke vincent
Büssow,2.726783904724279,-0.23081340611159384,-0.3183516867654356,0.2307562429512512,-0.31802003782689975,Büssow
vincent büssow,2.726783904724279,-0.23081340611159384,-0.3183516867654356,0.2307562429512512,-0.31802003782689975,vincent büssow
Nail,3.4368229444375697,-0.46223803022178195,-0.5497763108756236,0.3468257305507241,-0.549444661937088,Nail
büssow nail,2.7082166852085483,-0.223980916790046,-0.3115191974438878,0.22666370449422546,-0.31118754850535185,büssow nail
Akkoyun,3.4351402242130566,-0.4617482952750577,-0.5492865759288993,0.34661955442930836,-0.5489549269903636,Akkoyun
nail akkoyun,3.4351402242130566,-0.4617482952750577,-0.5492865759288993,0.34661955442930836,-0.5489549269903636,nail akkoyun
Andreas,2.6783594865436107,-0.21289502345357866,-0.3004333041074205,0.2199273060735071,-0.30010165516888476,Andreas
akkoyun andreas,2.6783594865436107,-0.21289502345357866,-0.3004333041074205,0.2199273060735071,-0.30010165516888476,akkoyun andreas
Apetz,2.6626249389102257,-0.20700300359361273,-0.2945412842474545,0.21629771321120259,-0.29420963530891875,Apetz
andreas apetz,2.6626249389102257,-0.20700300359361273,-0.2945412842474545,0.21629771321120259,-0.29420963530891875,andreas apetz
Lucas,2.6495608150130967,-0.2020844443263699,-0.2896227249802117,0.21324116773397891,-0.28929107604167587,Lucas
apetz lucas,2.6495608150130967,-0.2020844443263699,-0.2896227249802117,0.21324116773397891,-0.28929107604167587,apetz lucas
Maier,2.6388448917215763,-0.1980318286414108,-0.2855701092952525,0.2107043402313195,-0.2852384603567169,Maier
lucas maier,2.6388448917215763,-0.1980318286414108,-0.2855701092952525,0.2107043402313195,-0.2852384603567169,lucas maier
KommentareTeilen,3.0418320235624563,-0.3401505214804668,-0.42768880213430865,0.2906272954490317,-0.42735715319577283,KommentareTeilen
maier kommentareteil,2.229337187048685,-0.029394863999796676,-0.11693314465363856,0.08812465380661387,-0.11660149571510267,maier kommentareteil
kommentareteil die,2.2157183433296703,-0.023267207668184405,-0.11080548832202627,0.08294608549682371,-0.1104738393834906,kommentareteil die
+16289,2.2097687316906227,-0.020578412006760635,-0.10811669266060243,0.08065516827974778,-0.10778504372206676,+16289
die +16289,2.2097687316906227,-0.020578412006760635,-0.10811669266060243,0.08065516827974778,-0.10778504372206676,die +16289
+16289 chars,2.204779922881885,-0.018318243947546067,-0.10585652460138786,0.07872059793456454,-0.10552487566285221,+16289 chars
Schlechte,2.4964975079958913,0.7421743992880053,-0.23011758165948887,-0.10617558732130901,-0.22978593272095307,Schlechte
