index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.focus.de/politik/ausland/nach-streit-mit-selenskyj-moskauer-experte-trump-vollzieht-fundamentale-kehrtwende_id_260753851.html,https://www.focus.de/politik/ausland/nach-streit-mit-selenskyj-moskauer-experte-trump-vollzieht-fundamentale-kehrtwende_id_260753851.html,0,www.focus.de,Nach Streit mit Selenskyj - Moskauer Experte: Trump vollzieht „fundamentale Kehrtwende“,"Russland ist begeistert vom Willen Trumps, den Krieg in der Ukraine zu beenden. Der prominente Experte Lukjanow sieht einen grundlegenden Wandel in der US-Politik",https://p6.focus.de/img/fotos/id_260753847/us-praesident-donald-trump.jpg?im=Crop%3D%280%2C123%2C3465%2C1731%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=f32d0c74045ac6283a50ddc87cbf243f9f1c235b777d18255c7f98469ba3e96b,2025-03-01T00:07:27Z,,"Russland ist begeistert vom Willen Trumps, den Krieg in der Ukraine zu beenden. Der prominente Experte Lukjanow sieht einen grundlegenden Wandel in der US-PolitikDer prominente russische Außenpolitik… [+2259 chars]",,de,'Russland'
https://www.morgenpost.de/politik/article408439351/vorsicht-falle-wollte-trump-selenskyj-zum-ruecktritt-treiben.html,https://www.morgenpost.de/politik/article408439351/vorsicht-falle-wollte-trump-selenskyj-zum-ruecktritt-treiben.html,0,www.morgenpost.de,Vorsicht Falle: Wollte Trump Selenskyj zum Rücktritt treiben?,"Nach der gezielt wirkenden Demütigung im Weißen Haus fragen sich nicht nur US-Demokraten, ob Trump direkt nach Putins Drehbuch arbeitet.",https://img.sparknews.funkemedien.de/408439437/408439437_1740788477_v16_9_1600.jpeg,2025-03-01T00:21:13Z,https://web.archive.org/web/20250301012748/https://www.morgenpost.de/politik/article408439351/vorsicht-falle-wollte-trump-selenskyj-zum-ruecktritt-treiben.html,"Washington. Nach der gezielt wirkenden Demütigung im Weißen Haus fragen sich nicht nur US-Demokraten, ob Trump direkt nach Putins Drehbuch arbeitet.
Dummer August, Sandsack, Golf-Buddy, Sprachpuppe … [+3810 chars]",,de,'Russland'
https://www.tagesschau.de/newsticker/liveblog-ukraine-samstag-492.html,https://www.tagesschau.de/newsticker/liveblog-ukraine-samstag-492.html,0,www.tagesschau.de,Ukraine-Liveblog: ++ Selenskyj lehnt Entschuldigung bei Trump ab ++,"Nach dem Eklat im Weißen Haus hat es der ukrainische Präsident Selenskyj abgelehnt, sich bei Trump zu entschuldigen. Trump seinerseits sagte, er werde Gespräche mit Selenskyj nicht unmittelbar wieder aufnehmen.",https://images.tagesschau.de/image/0b8564a9-e9c3-4efa-a30f-090188a3cecd/AAABlU70JUY/AAABkZLhkrw/16x9-1280/selenskyj-774.jpg,2025-03-01T01:44:21Z,http://archive.md/20250301010506/https://www.tagesschau.de/newsticker/liveblog-ukraine-samstag-492.html,"Stand: 01.03.2025 02:44 Uhr
Nach dem Eklat im Weißen Haus hat es der ukrainische Präsident Selenskyj abgelehnt, sich bei Trump zu entschuldigen. Trump seinerseits sagte, er werde Gespräche mit Selen… [+6787 chars]",,de,'Russland'
https://www.n-tv.de/politik/Selenskyj-zeigt-sich-nach-Streit-mit-Trump-unbeugsam-article25598353.html,https://www.n-tv.de/politik/Selenskyj-zeigt-sich-nach-Streit-mit-Trump-unbeugsam-article25598353.html,0,www.n-tv.de,"""Geht nicht um mich persönlich"": Selenskyj zeigt sich nach Streit mit Trump unbeugsam",Der Besuch des ukrainischen Präsidenten im Weißen Haus endet in einem Fiasko. Trump und Vance nennen ihn undankbar und brechen den Termin ab. Bei Fox News stellt Selenskyj klar: Er ist dankbar. Aber die Fakten über Putin müssen offen gesagt werden.,https://www.n-tv.de/img/incoming/crop25598356/349132671-cImg_16_9-w1200/AP25059830831424.jpg,2025-03-01T01:59:43Z,,Der Besuch des ukrainischen Präsidenten im Weißen Haus endet in einem Fiasko. Trump und Vance nennen ihn undankbar und brechen den Termin ab. Bei Fox News stellt Selenskyj klar: Er ist dankbar. Aber … [+2302 chars],,de,'Russland'
